# logA mnu nnu ns ombh2 omch2 tau H0
2.024019867070805281e+07 -3.630657321233835071e+06 -8.838696153130023740e+05 2.554960098002320156e+07 3.994928662096385360e+08 5.020232717770817131e+07 -2.570002571228289232e+07 -2.400691782069049950e+05
-3.630657321233835071e+06 8.576729778901914833e+05 5.150741074542332353e+04 -4.815450912679998204e+06 -7.848901215443599224e+07 -9.537038599042892456e+06 3.994893434443728067e+06 5.888026427742608212e+04
-8.838696153130023740e+05 5.150741074542332353e+04 3.279006397993377759e+05 -1.151827190012346022e+06 2.340438260262716189e+07 -1.758790097270162404e+07 3.554517961755516008e+05 -1.076054639242087433e+04
2.554960098002320156e+07 -4.815450912679998204e+06 -1.151827190012346022e+06 3.402371820343202353e+07 5.685868004154932499e+08 6.583385690054411441e+07 -3.181969093748037145e+07 -3.227637549935531570e+05
3.994928662096385360e+08 -7.848901215443599224e+07 2.340438260262716189e+07 5.685868004154932499e+08 2.541694697624497986e+10 -2.590507857938071251e+09 -7.505628216688936949e+08 -8.391023607085609809e+06
5.020232717770817131e+07 -9.537038599042892456e+06 -1.758790097270162404e+07 6.583385690054411441e+07 -2.590507857938071251e+09 1.300318833808348656e+09 2.075742923325883225e+07 3.524826421655188315e+05
-2.570002571228289232e+07 3.994893434443728067e+06 3.554517961755516008e+05 -3.181969093748037145e+07 -7.505628216688936949e+08 2.075742923325883225e+07 4.040317630079012364e+07 3.280323068692240049e+05
-2.400691782069049950e+05 5.888026427742608212e+04 -1.076054639242087433e+04 -3.227637549935531570e+05 -8.391023607085609809e+06 3.524826421655188315e+05 3.280323068692240049e+05 4.903796764981019805e+03
