# logA mnu nnu ns ombh2 omch2 tau theta
2.025724932095588744e+07 -1.552662377524723299e+06 -3.669505340229442809e+06 2.557103668784586713e+07 2.015035080105492473e+08 1.343640812732553780e+08 -2.572113395382419229e+07 -8.049045534425178170e+07
-1.552662377524723299e+06 2.064898092869052198e+05 3.345846387674376601e+05 -2.021294483039416373e+06 7.690696611623306759e+06 -1.830897306049064919e+07 1.154683600358657306e+06 5.465316837679818273e+06
-3.669505340229442809e+06 3.345846387674376601e+05 7.386987176825461211e+05 -4.896766774199215695e+06 -3.582382578226190060e+07 -2.970280022422404215e+07 4.160596731366024353e+06 1.544495173406012915e+07
2.557103668784586713e+07 -2.021294483039416373e+06 -4.896766774199215695e+06 3.405106612723028660e+07 3.024088635487220883e+08 1.789741546209817231e+08 -3.184655982359654456e+07 -1.082056886815592647e+08
2.015035080105492473e+08 7.690696611623306759e+06 -3.582382578226190060e+07 3.024088635487220883e+08 1.492135898217083168e+10 -7.791800190230504274e+08 -4.802168536786758900e+08 -1.456605215766419172e+09
1.343640812732553780e+08 -1.830897306049064919e+07 -2.970280022422404215e+07 1.789741546209817231e+08 -7.791800190230504274e+08 1.657083723000018835e+09 -9.421664454976144433e+07 -4.591658627703529596e+08
-2.572113395382419229e+07 1.154683600358657306e+06 4.160596731366024353e+06 -3.184655982359654456e+07 -4.802168536786758900e+08 -9.421664454976144433e+07 4.043408635131626576e+07 1.100296351829246730e+08
-8.049045534425178170e+07 5.465316837679818273e+06 1.544495173406012915e+07 -1.082056886815592647e+08 -1.456605215766419172e+09 -4.591658627703529596e+08 1.100296351829246730e+08 5.450975792752279043e+08
