# logA mnu nnu ns ombh2 omch2 tau H0
1.511498576965935528e+07 -2.589208826588687487e+06 -6.626973632508693263e+05 1.812870995127440989e+07 2.660865158490182459e+08 3.684436125493399799e+07 -1.939896055426247045e+07 -1.682041596014613169e+05
-2.589208826588687487e+06 7.845527016245283885e+05 -1.842118604124069680e+05 -3.309925889331298880e+06 -6.560305520386329293e+07 -3.888833063472002978e+05 2.760782242715277243e+06 6.045988355508949462e+04
-6.626973632508693263e+05 -1.842118604124069680e+05 5.467911228311494924e+05 -8.583067186301877955e+05 3.886498925026032329e+07 -2.316163701625229418e+07 2.211759042219998082e+05 -3.376847659621272032e+04
1.812870995127440989e+07 -3.309925889331298880e+06 -8.583067186301877955e+05 2.327499897980478778e+07 3.616439122606147528e+08 4.940465548055553436e+07 -2.249110323600348085e+07 -2.164677181364806602e+05
2.660865158490182459e+08 -6.560305520386329293e+07 3.886498925026032329e+07 3.616439122606147528e+08 2.057966051878437805e+10 -2.816463860953752041e+09 -5.310828557151213288e+08 -7.478429101582085714e+06
3.684436125493399799e+07 -3.888833063472002978e+05 -2.316163701625229418e+07 4.940465548055553436e+07 -2.816463860953752041e+09 1.350325377718094826e+09 2.313023373612768948e+07 1.101165286941801198e+06
-1.939896055426247045e+07 2.760782242715277243e+06 2.211759042219998082e+05 -2.249110323600348085e+07 -5.310828557151213288e+08 2.313023373612768948e+07 3.145745318938349932e+07 2.308062901643842924e+05
-1.682041596014613169e+05 6.045988355508949462e+04 -3.376847659621272032e+04 -2.164677181364806602e+05 -7.478429101582085714e+06 1.101165286941801198e+06 2.308062901643842924e+05 5.618581226459052232e+03
