# H0 logA mnu nnu ns ombh2 omch2 tau
4.917076676242974827e+03 -2.400691782069049950e+05 5.890347933038253541e+04 -1.081273933353021857e+04 -3.227637549935531570e+05 -8.400375778154298663e+06 3.519629589798045345e+05 3.280323068692240049e+05
-2.400691782069049950e+05 2.024019867070805281e+07 -3.630657321233835071e+06 -8.838696153130023740e+05 2.554960098002320156e+07 3.994928662096385360e+08 5.020232717770817131e+07 -2.570002571228289232e+07
5.890347933038253541e+04 -3.630657321233835071e+06 8.577219482080502203e+05 5.140849456585031294e+04 -4.815450912679998204e+06 -7.850628152025447786e+07 -9.537561723234754056e+06 3.994893434443728067e+06
-1.081273933353021857e+04 -8.838696153130023740e+05 5.140849456585031294e+04 3.281127943734124419e+05 -1.151827190012346022e+06 2.344198112445704266e+07 -1.758621117361683398e+07 3.554517961755516008e+05
-3.227637549935531570e+05 2.554960098002320156e+07 -4.815450912679998204e+06 -1.151827190012346022e+06 3.402371820343202353e+07 5.685868004154932499e+08 6.583385690054411441e+07 -3.181969093748037145e+07
-8.400375778154298663e+06 3.994928662096385360e+08 -7.850628152025447786e+07 2.344198112445704266e+07 5.685868004154932499e+08 2.542363412704662323e+10 -2.590184172267751694e+09 -7.505628216688936949e+08
3.519629589798045345e+05 5.020232717770817131e+07 -9.537561723234754056e+06 -1.758621117361683398e+07 6.583385690054411441e+07 -2.590184172267751694e+09 1.300356875372203827e+09 2.075742923325883225e+07
3.280323068692240049e+05 -2.570002571228289232e+07 3.994893434443728067e+06 3.554517961755516008e+05 -3.181969093748037145e+07 -7.505628216688936949e+08 2.075742923325883225e+07 4.040317630079012364e+07
