# logA mnu nnu ns ombh2 omch2 tau theta
1.512547961833827570e+07 -1.132898883369636955e+06 -2.613328184497991111e+06 1.814143315466931835e+07 1.273404560546065122e+08 9.578941125986078382e+07 -1.941254682646242157e+07 -5.648261877074781805e+07
-1.132898883369636955e+06 1.588938265416712675e+05 2.451177502726174134e+05 -1.435404773496547015e+06 8.891134234450981021e+06 -1.406143064726855978e+07 7.618313725173064740e+05 3.941381393943707924e+06
-2.613328184497991111e+06 2.451177502726174134e+05 5.189949858609731891e+05 -3.368641582964640576e+06 -2.194955394480849057e+07 -2.138929549248135090e+07 2.897269869776741136e+06 1.042919077015888318e+07
1.814143315466931835e+07 -1.435404773496547015e+06 -3.368641582964640576e+06 2.329075646103520319e+07 1.830996993631262481e+08 1.252567657640088201e+08 -2.250776942920451611e+07 -7.267378823303923011e+07
1.273404560546065122e+08 8.891134234450981021e+06 -2.194955394480849057e+07 1.830996993631262481e+08 1.207425694912859726e+10 -9.130254809386918545e+08 -3.408529791705215573e+08 -9.552751550444576740e+08
9.578941125986078382e+07 -1.406143064726855978e+07 -2.138929549248135090e+07 1.252567657640088201e+08 -9.130254809386918545e+08 1.268010512083122730e+09 -5.774021948182215542e+07 -2.907512765865733624e+08
-1.941254682646242157e+07 7.618313725173064740e+05 2.897269869776741136e+06 -2.250776942920451611e+07 -3.408529791705215573e+08 -5.774021948182215542e+07 3.147873629699208215e+07 7.760985648032902181e+07
-5.648261877074781805e+07 3.941381393943707924e+06 1.042919077015888318e+07 -7.267378823303923011e+07 -9.552751550444576740e+08 -2.907512765865733624e+08 7.760985648032902181e+07 6.133340961900346279e+08
