# logA mnu nnu ns ombh2 omch2 tau theta
2.025724932095588744e+07 -1.552662377524723299e+06 -3.669505340229442809e+06 2.557103668784586713e+07 2.015035080105492473e+08 1.343640812732553780e+08 -2.572113395382419229e+07 -8.049045534425178170e+07
-1.552662377524723299e+06 2.058461570443720557e+05 3.352948754662176361e+05 -2.021294483039416373e+06 7.702741420562120155e+06 -1.834511901672797650e+07 1.154683600358657306e+06 5.496042320117763244e+06
-3.669505340229442809e+06 3.352948754662176361e+05 7.379147139851796674e+05 -4.896766774199215695e+06 -3.583697251032601297e+07 -2.966289906804969907e+07 4.160596731366024353e+06 1.541097236847356521e+07
2.557103668784586713e+07 -2.021294483039416373e+06 -4.896766774199215695e+06 3.405106612723028660e+07 3.024088635487220883e+08 1.789741546209817231e+08 -3.184655982359654456e+07 -1.082056886815592647e+08
2.015035080105492473e+08 7.702741420562120155e+06 -3.583697251032601297e+07 3.024088635487220883e+08 1.492106308949117470e+10 -7.785114284549050331e+08 -4.802168536786758900e+08 -1.457143301111565590e+09
1.343640812732553780e+08 -1.834511901672797650e+07 -2.966289906804969907e+07 1.789741546209817231e+08 -7.785114284549050331e+08 1.655052986576426744e+09 -9.421664454976144433e+07 -4.574363035919674039e+08
-2.572113395382419229e+07 1.154683600358657306e+06 4.160596731366024353e+06 -3.184655982359654456e+07 -4.802168536786758900e+08 -9.421664454976144433e+07 4.043408635131626576e+07 1.100296351829246730e+08
-8.049045534425178170e+07 5.496042320117763244e+06 1.541097236847356521e+07 -1.082056886815592647e+08 -1.457143301111565590e+09 -4.574363035919674039e+08 1.100296351829246730e+08 5.436115611203973293e+08
