# H0 logA mnu nnu ns ombh2 omch2 tau
5.631861137721007253e+03 -1.682041596014613169e+05 6.048309860804594791e+04 -3.382066953732206457e+04 -2.164677181364806602e+05 -7.487781272650773637e+06 1.100645603756086901e+06 2.308062901643842924e+05
-1.682041596014613169e+05 1.511498576965935528e+07 -2.589208826588687487e+06 -6.626973632508693263e+05 1.812870995127440989e+07 2.660865158490182459e+08 3.684436125493399799e+07 -1.939896055426247045e+07
6.048309860804594791e+04 -2.589208826588687487e+06 7.846016719423871255e+05 -1.843107765919799858e+05 -3.309925889331298880e+06 -6.562032456968177855e+07 -3.894064305390612572e+05 2.760782242715277243e+06
-3.382066953732206457e+04 -6.626973632508693263e+05 -1.843107765919799858e+05 5.470032774052241584e+05 -8.583067186301877955e+05 3.890258777209020406e+07 -2.315994721716750413e+07 2.211759042219998082e+05
-2.164677181364806602e+05 1.812870995127440989e+07 -3.309925889331298880e+06 -8.583067186301877955e+05 2.327499897980478778e+07 3.616439122606147528e+08 4.940465548055553436e+07 -2.249110323600348085e+07
-7.487781272650773637e+06 2.660865158490182459e+08 -6.562032456968177855e+07 3.890258777209020406e+07 3.616439122606147528e+08 2.058634766958602142e+10 -2.816140175283432484e+09 -5.310828557151213288e+08
1.100645603756086901e+06 3.684436125493399799e+07 -3.894064305390612572e+05 -2.315994721716750413e+07 4.940465548055553436e+07 -2.816140175283432484e+09 1.350363419281949997e+09 2.313023373612768948e+07
2.308062901643842924e+05 -1.939896055426247045e+07 2.760782242715277243e+06 2.211759042219998082e+05 -2.249110323600348085e+07 -5.310828557151213288e+08 2.313023373612768948e+07 3.145745318938349932e+07
