# logA mnu nnu ns ombh2 omch2 tau theta
1.512547961833827570e+07 -1.132898883369636955e+06 -2.613328184497991111e+06 1.814143315466931835e+07 1.273404560546065122e+08 9.578941125986078382e+07 -1.941254682646242157e+07 -5.648261877074781805e+07
-1.132898883369636955e+06 1.595374787842044316e+05 2.444075135738374083e+05 -1.435404773496547015e+06 8.879089425512166694e+06 -1.402528469103123061e+07 7.618313725173064740e+05 3.910655911505762953e+06
-2.613328184497991111e+06 2.444075135738374083e+05 5.197789895583396428e+05 -3.368641582964640576e+06 -2.193640721674437448e+07 -2.142919664865569398e+07 2.897269869776741136e+06 1.046317013574544713e+07
1.814143315466931835e+07 -1.435404773496547015e+06 -3.368641582964640576e+06 2.329075646103520319e+07 1.830996993631262481e+08 1.252567657640088201e+08 -2.250776942920451611e+07 -7.267378823303923011e+07
1.273404560546065122e+08 8.879089425512166694e+06 -2.193640721674437448e+07 1.830996993631262481e+08 1.207455284180825424e+10 -9.136940715068372488e+08 -3.408529791705215573e+08 -9.547370696993112564e+08
9.578941125986078382e+07 -1.402528469103123061e+07 -2.142919664865569398e+07 1.252567657640088201e+08 -9.136940715068372488e+08 1.270041248506714821e+09 -5.774021948182215542e+07 -2.924808357649589181e+08
-1.941254682646242157e+07 7.618313725173064740e+05 2.897269869776741136e+06 -2.250776942920451611e+07 -3.408529791705215573e+08 -5.774021948182215542e+07 3.147873629699208215e+07 7.760985648032902181e+07
-5.648261877074781805e+07 3.910655911505762953e+06 1.046317013574544713e+07 -7.267378823303923011e+07 -9.547370696993112564e+08 -2.924808357649589181e+08 7.760985648032902181e+07 6.148201143448652029e+08
